Context Word 1,Context Word 2,Context Word 3,Context Word 4,Context Word 5
landscaper,beautiful,designs,tends,backyard
0.3795953392982483,0.35233762860298157,0.25098636746406555,0.4145241379737854,0.6367890238761902
nurse,doctor,the,examines,editor
0.47858864068984985,0.7696360349655151,0.31146737933158875,0.3530700206756592,0.2671912908554077
practices,musician,conductor,music,orchestra
0.15275582671165466,0.4847557842731476,0.37494057416915894,0.5471422076225281,0.5138550996780396
buildings,architect,designs,structures,blueprints
0.1682109832763672,0.2320941835641861,0.3198801279067993,0.21495863795280457,0.23842358589172363
breathtaking,records,events,moments,photographer
0.40406450629234314,0.04411208629608154,0.2519168257713318,0.2736058831214905,0.3266437351703644
galaxies,celestial,bodies,analyzes,data
1.0,0.5628377795219421,0.11650226265192032,0.08843273669481277,0.10646658390760422
manager,new,operations,develops,strategy
0.4213034510612488,0.2179538458585739,0.4859021306037903,0.3339828848838806,0.4629198908805847
lake,the,camper,near,hiker
0.15136869251728058,0.13784076273441315,1.0,0.2532499134540558,0.44265732169151306
anecdotes,humorous,laughter,audience,applause
0.2594549357891083,0.8074305653572083,1.000000238418579,0.4282771348953247,0.5574444532394409
cozy,bed,sleeps,cat,the
0.4535489082336426,1.000000238418579,0.5077567100524902,0.1511160135269165,0.17907600104808807
flows,the,river,waterfall,mountainside
0.4049440622329712,0.24322675168514252,1.0,0.6091181039810181,0.2378394603729248
bakes,bread,baker,dish,delicious
0.49358609318733215,0.500309944152832,1.0,0.1655598133802414,0.342354416847229
studies,teacher,evening,exams,the
0.48618894815444946,0.39058083295822144,0.15923382341861725,1.0,0.37360644340515137
pedals,the,scenic,speeds,car
0.29676342010498047,0.2514057755470276,0.21827098727226257,0.320233553647995,0.9999998807907104
experiments,analyzes,the,conducts,office
0.618353009223938,0.4340362250804901,0.3597666323184967,0.4222037196159363,0.24539855122566223
child,reads,story,colorful,night
0.16934442520141602,0.2043355107307434,0.3565477728843689,0.24936126172542572,0.9999998807907104
motivates,gym,the,coach,game
0.2218119353055954,0.3335573673248291,0.2478564977645874,0.9999999403953552,0.2924220860004425
beautiful,artist,shapes,intricate,molds
0.37183326482772827,0.38940274715423584,0.6298785209655762,1.0,0.3668738603591919
twinkle,the,sun,night,stars
0.386833131313324,0.3016480803489685,0.4069216847419739,0.9999998807907104,0.39678090810775757
around,sun,moon,the,revolves
0.40528303384780884,0.15109311044216156,0.24382182955741882,0.35977301001548767,0.9999998211860657
cozy,purrs,windowsill,contentedly,the
0.11852110922336578,1.0,-0.11702567338943481,0.12274089455604553,0.13475927710533142
meanders,stream,river,the,meadow
0.30016204714775085,0.6056390404701233,1.0,0.24322675168514252,0.16332346200942993
chef,creation,dish,sous-chef,prepares
0.30809539556503296,0.2745206952095032,0.25024425983428955,0.3711645007133484,1.0
afternoon,diligently,history,student,grades
0.3161642551422119,0.12150943279266357,1.000000238418579,0.13392584025859833,0.04303982853889465
car,pedals,incline,mountain,road
0.9999998807907104,0.29676342010498047,0.08508092910051346,0.057214535772800446,0.3828586935997009
analyzes,data,the,experiments,conducts
0.453422486782074,0.28343141078948975,0.3764890134334564,0.5115538835525513,0.40564587712287903
reads,the,bedtime,playing,blocks
0.38382187485694885,0.48186469078063965,0.18462133407592773,0.3545628488063812,0.1583026945590973
coach,team,center,championship,athlete
0.07676161080598831,0.1837732493877411,0.9999998807907104,0.21395516395568848,0.07988686859607697
clay,sculptor,paints,molds,meticulously
0.28085315227508545,0.3597923219203949,0.5373503565788269,0.24608126282691956,0.12516851723194122
sun,the,sky,clear,behind
0.42845579981803894,0.23859842121601105,0.5403263568878174,0.05921458452939987,0.11939756572246552
soars,enjoy,plane,views,the
0.06777530163526535,0.3430889844894409,0.23706629872322083,0.23646292090415955,0.21264433860778809
soar,waves,crashing,seagulls,ocean
0.16317950189113617,0.22571700811386108,0.17740792036056519,0.017912793904542923,0.28724589943885803
mathematician,complex,solves,student,equations
0.44161590933799744,1.0000001192092896,0.4328121542930603,0.16686013340950012,0.30818039178848267
gardener,cultivates,clients,beautiful,designs
0.6749769449234009,0.3945700526237488,0.11193330585956573,0.35233762860298157,0.25098636746406555
guides,upcoming,director,scenes,lines
0.17728595435619354,1.0,0.12175753712654114,0.32262444496154785,0.1188659593462944
troubleshoots,codes,scientist,the,computer
0.1509397327899933,0.12772443890571594,0.20809242129325867,0.4441887140274048,0.08965639770030975
determination,leads,expedition,peak,guide
0.29225218296051025,0.3406091332435608,0.2838957905769348,0.24592219293117523,0.4203749895095825
clinic,diagnoses,doctor,the,patients
0.7495282888412476,0.5409722924232483,0.6669895648956299,0.20439012348651886,0.9999998807907104
quiet,enjoys,moment,the,organizes
0.05224848911166191,0.048256900161504745,0.060824621468782425,0.17879655957221985,0.2803434133529663
predicts,provides,throughout,weather,day
0.21821972727775574,0.30628538131713867,0.9999998211860657,0.16332726180553436,0.24550741910934448
news,revises,journalist,conducts,interviews
0.35742253065109253,0.20077253878116608,0.44828736782073975,0.3265681266784668,0.38319069147109985
the,practices,piano,conductor,live
0.2237022966146469,0.2103131264448166,0.4847557842731476,0.384416788816452,0.11318019777536392
detective,forensic,case,lab,evidence
0.36158275604248047,0.39250728487968445,0.2701513469219208,0.39011350274086,0.40865325927734375
innovative,architect,masterpiece,the,constructs
0.24993988871574402,0.4779644012451172,0.2520070970058441,0.28277286887168884,0.4811334013938904
station,the,conducts,aboard,monitors
0.35949933528900146,0.43950381875038147,0.19415470957756042,0.9999999403953552,0.1031474620103836
crops,sustainable,farmer,soil,agronomist
0.6585176587104797,0.3866727948188782,0.8082447052001953,0.43906593322753906,0.29504239559173584
tour,guide,the,explores,historical
0.16651037335395813,0.08581894636154175,0.23567946255207062,0.11245423555374146,0.10011065751314163
wires,troubleshoots,new,electrician,electrical
0.5946271419525146,0.055165618658065796,0.1694360077381134,0.6290444135665894,0.8218203783035278
the,garments,creates,intricate,seamstress
0.28443533182144165,0.6437937021255493,0.2088259756565094,0.3564195930957794,0.3937467038631439
galaxies,astronomer,distant,telescope,bodies
0.5417137145996094,1.000000238418579,0.275540292263031,0.6136834621429443,0.14163491129875183
daily,strategy,operations,business,entrepreneur
0.03899466618895531,0.4120027422904968,0.2390618622303009,0.5949623584747314,1.0000001192092896
ecosystems,the,ecologist,conservation,studies
0.591188371181488,0.274104505777359,0.36000752449035645,1.0,0.3490404188632965
the,glides,swimmer's,provides,technique
0.1663709431886673,0.08587516844272614,0.07907302677631378,0.2525552213191986,0.3465391993522644
fossils,paleontologist,studies,site,the
