Center Word,Context Words Array,Average Similarity Score,Variance
0,landscaper,"['backyard', 'beautiful', 'clients', 'colorful', 'designs']",0.25209852755069734,0.003128664969606767
1,procedures,"['assists', 'author', 'captivating', 'clinic', 'desk']",0.30356274247169496,0.018119287351136874
2,orchestra,"['conductor', 'leads', 'music', 'musician', 'orchestra']",0.5368027716875077,0.06691667488792635
3,architect,"['architect', 'blueprints', 'buildings', 'designs', 'engineer']",0.5524635016918182,0.06516790703003075
4,photographer,"['breathtaking', 'captures', 'events', 'landscapes', 'memorable']",0.3663370758295059,0.01283464312804874
5,astronomer,"['analyzes', 'astronomer', 'astrophysicist', 'bodies', 'celestial']",0.5085811614990234,0.09418074906867809
6,company,"['business', 'company', 'daily', 'develops', 'entrepreneur']",0.5214762687683105,0.09856356383151024
7,camper,"['camper', 'explores', 'hiker', 'lake', 'mountains']",0.3697554349899292,0.11363160440621245
8,humorous,"['anecdotes', 'applause', 'audience', 'comedian', 'entertains']",0.45169055461883545,0.013713139834129607
9,bed,"['bed', 'cat', 'cozy', 'dog', 'sleeps']",0.435781455039978,0.10825058828694638
10,forest,"['cascades', 'flows', 'forest', 'mountainside', 'river']",0.39329965859651567,0.09691921853295443
11,baker,"['baker', 'bakes', 'bread', 'chef', 'delicious']",0.5973441421985626,0.05003105044695516
12,teacher,"['diligently', 'evening', 'exams', 'grades', 'papers']",0.30691333711147306,0.0087083502072948
13,car,"['along', 'car', 'cyclist', 'highway', 'pedals']",0.41988162100315096,0.08607694019588653
14,analyzes,"['analyzes', 'conducts', 'data', 'experiments', 'laboratory']",0.5824226379394531,0.04825734387955386
15,night,"['bedtime', 'child', 'colorful', 'night', 'parent']",0.39927992075681684,0.10926772417557255
16,trains,"['athlete', 'coach', 'game', 'gym', 'hard']",0.19850283861160278,0.0025117224487806846
17,sculptor,"['artist', 'beautiful', 'canvas', 'clay', 'creates']",0.4204889714717865,0.00993086025384308
18,sets,"['night', 'ocean', 'sets', 'sky', 'stars']",0.2653994455933571,0.13621281694575
19,around,"['around', 'earth', 'moon', 'revolves', 'sun']",0.3840613067150116,0.10332520494949264
20,purrs,"['bed', 'cat', 'contentedly', 'cozy', 'curls']",0.15512571334838868,0.02240677532539216
21,river,"['flows', 'meadow', 'meanders', 'river', 'stream']",0.49481372237205506,0.08466940988630811
22,chef,"['assists', 'chef', 'creation', 'culinary', 'dish']",0.4793677657842636,0.10922586662874392
23,teacher,"['afternoon', 'diligently', 'exam', 'grades', 'history']",0.30510060787200927,0.008332845864755658
24,road,"['car', 'cyclist', 'incline', 'mountain', 'pedals']",0.3018573999404907,0.005910975295516021
25,field,"['analyzes', 'conducts', 'data', 'experiments', 'field']",0.42258839011192323,0.08376885214819141
26,giggles,"['bedtime', 'blocks', 'building', 'child', 'giggles']",0.34246671944856644,0.11534444483572966
27,rigorously,"['athlete', 'center', 'championship', 'coach', 'fitness']",0.2426677167415619,0.0021205379557257234
28,paints,"['artist', 'canvas', 'clay', 'intricate', 'meticulously']",0.41469904184341433,0.01578740961528325
