Context Word 1,Context Word 2,Context Word 3,Context Word 4,Context Word 5
backyard,beautiful,clients,colorful,designs
0.3272484540939331,0.3051771819591522,0.2120627760887146,0.17896230518817902,0.2370419204235077
assists,author,captivating,clinic,desk
0.2805558443069458,0.17622025310993195,0.26452600955963135,0.563170313835144,0.2333412915468216
conductor,leads,music,musician,orchestra
0.48188671469688416,0.21105153858661652,0.5567600727081299,0.43431541323661804,1.0000001192092896
architect,blueprints,buildings,designs,engineer
0.9999998807907104,0.2305583655834198,0.46240177750587463,0.4534873068332672,0.6158701777458191
breathtaking,captures,events,landscapes,memorable
0.43178361654281616,0.5520504713058472,0.2335309237241745,0.3266437351703644,0.2876766324043274
analyzes,astronomer,astrophysicist,bodies,celestial
0.22879323363304138,1.000000238418579,0.6332430243492126,0.14163491129875183,0.5392343997955322
business,company,daily,develops,entrepreneur
0.6836944818496704,1.0000001192092896,0.08457231521606445,0.3058515787124634,0.5332628488540649
camper,explores,hiker,lake,mountains
1.0,0.11243623495101929,0.44265732169151306,0.15136869251728058,0.14231492578983307
anecdotes,applause,audience,comedian,entertains
0.39167559146881104,0.39413201808929443,0.3050044775009155,0.6348965167999268,0.5327441692352295
bed,cat,cozy,dog,sleeps
1.000000238418579,0.1511160135269165,0.4535489082336426,0.06648540496826172,0.5077567100524902
cascades,flows,forest,mountainside,river
0.21612480282783508,0.12463942915201187,1.0,0.31403422355651855,0.31169983744621277
baker,bakes,bread,chef,delicious
1.0,0.49358609318733215,0.500309944152832,0.6504702568054199,0.342354416847229
diligently,evening,exams,grades,papers
0.2026190310716629,0.2005591094493866,0.39058083295822144,0.42648810148239136,0.3143196105957031
along,car,cyclist,highway,pedals
0.23926444351673126,0.9999998807907104,0.21894824504852295,0.34443211555480957,0.29676342010498047
analyzes,conducts,data,experiments,laboratory
1.0,0.3766365349292755,0.5671417117118835,0.5342987179756165,0.4340362250804901
bedtime,child,colorful,night,parent
0.49589455127716064,0.16934442520141602,0.24936126172542572,0.9999998807907104,0.08179948478937149
athlete,coach,game,gym,hard
0.11430235207080841,0.19344359636306763,0.18727490305900574,0.2603299021720886,0.23716343939304352
artist,beautiful,canvas,clay,creates
0.6022302508354187,0.3387647271156311,0.3597923219203949,0.45321401953697205,0.34844353795051575
night,ocean,sets,sky,stars
0.11137357354164124,0.036247819662094116,0.9999998807907104,0.13117778301239014,0.04819817095994949
around,earth,moon,revolves,sun
1.0,0.1810203194618225,0.1411200761795044,0.40528303384780884,0.19288310408592224
bed,cat,contentedly,cozy,curls
-0.001715444028377533,0.4405900239944458,0.12274089455604553,0.11852110922336578,0.09549198299646378
flows,meadow,meanders,river,stream
0.4049440622329712,0.16332346200942993,0.30016204714775085,1.0,0.6056390404701233
assists,chef,creation,culinary,dish
0.1483525037765503,0.9999999403953552,0.1955035775899887,0.7270907759666443,0.32589203119277954
afternoon,diligently,exam,grades,history
0.22587041556835175,0.2026190310716629,0.3997991681098938,0.42648810148239136,0.2707263231277466
car,cyclist,incline,mountain,pedals
0.3828586935997009,0.24652846157550812,0.23216457664966583,0.23988434672355652,0.4078509211540222
analyzes,conducts,data,experiments,field
0.24244678020477295,0.2919886112213135,0.2755367159843445,0.3029698431491852,1.0
bedtime,blocks,building,child,giggles
0.23308011889457703,0.08974193781614304,0.083176389336586,0.3063351511955261,1.0
athlete,center,championship,coach,fitness
0.2518499493598938,0.19332537055015564,0.2988321781158447,0.1856696605682373,0.283661425113678
artist,canvas,clay,intricate,meticulously
0.5700978636741638,0.5373503565788269,0.3053330183029175,0.41268807649612427,0.24802589416503906
behind,city,clear,night,sets
0.1862727403640747,0.1487949639558792,0.20766468346118927,0.4069216847419739,-0.005941759794950485
enjoy,passengers,plane,scenic,seats
0.3430889844894409,0.6044289469718933,0.23706629872322083,0.1363462209701538,0.9999998807907104
crash,crashing,ocean,rocky,seagulls
0.19985753297805786,0.28467637300491333,0.5966813564300537,0.22571700811386108,0.2798460125923157
chalkboard,complex,equations,lecture,mathematician
0.3368610441684723,0.44161590933799744,0.3512989282608032,0.39853811264038086,0.9999998807907104
backyard,beautiful,clients,cultivates,designs
