Context Word 1,Context Word 2,Context Word 3,Context Word 4,Context Word 5
backyard,beautiful,clients,colorful,designs
0.6367890238761902,0.35233762860298157,0.11193330585956573,0.3151843249797821,0.25098636746406555
assists,author,captivating,clinic,desk
0.2455141842365265,0.6239032745361328,0.3198195695877075,0.20212267339229584,0.2809198796749115
conductor,leads,music,musician,orchestra
0.2581510543823242,0.1818307340145111,0.1997286081314087,0.2103131264448166,0.28025704622268677
architect,blueprints,buildings,designs,engineer
0.4534873068332672,0.4308556318283081,0.2084624171257019,1.0,0.3358785808086395
breathtaking,captures,events,landscapes,memorable
0.3886989951133728,1.000000238418579,0.27103695273399353,0.25867748260498047,0.3715265393257141
analyzes,astronomer,astrophysicist,bodies,celestial
1.0,0.22879323363304138,0.13622161746025085,0.1333511769771576,0.1099381297826767
business,company,daily,develops,entrepreneur
0.21097150444984436,0.08457231521606445,0.9999998807907104,0.06521415710449219,0.03899466618895531
camper,explores,hiker,lake,mountains
0.1406690776348114,0.5172638893127441,0.3052780330181122,0.4033374786376953,0.5553611516952515
anecdotes,applause,audience,comedian,entertains
0.3027702569961548,0.3934592604637146,0.5687178373336792,0.4508630931377411,0.9999999403953552
bed,cat,cozy,dog,sleeps
0.06648540496826172,0.39435988664627075,0.1616920530796051,1.0,0.010820798575878143
cascades,flows,forest,mountainside,river
0.2902442216873169,0.47706571221351624,0.25170648097991943,0.31690922379493713,0.6091181039810181
baker,bakes,bread,chef,delicious
0.2433037906885147,0.2982364594936371,0.18550163507461548,0.30809539556503296,0.11204229295253754
diligently,evening,exams,grades,papers
0.20299890637397766,0.12499257922172546,0.5349474549293518,0.9999999403953552,0.2502294182777405
along,car,cyclist,highway,pedals
0.1996675580739975,0.21894824504852295,0.9999998807907104,0.24388879537582397,0.6298091411590576
analyzes,conducts,data,experiments,laboratory
0.453422486782074,0.40564587712287903,0.28343141078948975,0.5115538835525513,0.5608917474746704
bedtime,child,colorful,night,parent
1.0000001192092896,0.22926628589630127,0.11057864129543304,0.49589455127716064,0.1471468210220337
athlete,coach,game,gym,hard
0.3842196762561798,0.9999999403953552,0.2924220860004425,0.3335573673248291,0.14767082035541534
artist,beautiful,canvas,clay,creates
0.38940274715423584,0.37183326482772827,0.31232964992523193,0.2983151078224182,0.45670056343078613
night,ocean,sets,sky,stars
0.4069216847419739,0.33530986309051514,-0.005941759794950485,0.5576503872871399,0.5036716461181641
around,earth,moon,revolves,sun
0.19288310408592224,0.31670403480529785,0.40933722257614136,0.15109311044216156,1.0000001192092896
bed,cat,contentedly,cozy,curls
0.4535489082336426,0.2490929663181305,0.36146286129951477,1.0000001192092896,0.2966061532497406
flows,meadow,meanders,river,stream
0.6358690857887268,0.27025431394577026,0.21412411332130432,0.6056390404701233,1.0000001192092896
assists,chef,creation,culinary,dish
0.1483525037765503,0.9999999403953552,0.1955035775899887,0.7270907759666443,0.32589203119277954
afternoon,diligently,exam,grades,history
0.24471214413642883,0.17080017924308777,0.3579877018928528,0.18011963367462158,0.2759605050086975
car,cyclist,incline,mountain,pedals
0.057214535772800446,0.1406310349702835,0.42819398641586304,1.000000238418579,0.16059401631355286
analyzes,conducts,data,experiments,field
0.3766365349292755,0.9999999403953552,0.2846473455429077,0.373915433883667,0.2919886112213135
bedtime,blocks,building,child,giggles
1.0000001192092896,0.11692781001329422,0.07736676931381226,0.22926628589630127,0.23308011889457703
athlete,center,championship,coach,fitness
0.5013518929481506,0.21395516395568848,1.0000001192092896,0.32067298889160156,0.24536868929862976
artist,canvas,clay,intricate,meticulously
