,Center Word,Context Words Array,Average Similarity Score,Variance
0,gardens,"['landscaper', 'beautiful', 'designs', 'tends', 'backyard']",0.4068464994430542,0.01618774682921945
1,medical,"['nurse', 'doctor', 'the', 'examines', 'editor']",0.43599067330360414,0.03280178621454496
2,piano,"['practices', 'musician', 'conductor', 'music', 'orchestra']",0.41468989849090576,0.0204952092828254
3,new,"['buildings', 'architect', 'designs', 'structures', 'blueprints']",0.23471350371837615,0.0024173638740021632
4,landscapes,"['breathtaking', 'records', 'events', 'moments', 'photographer']",0.2600686073303223,0.014410798984088516
5,galaxies,"['galaxies', 'celestial', 'bodies', 'analyzes', 'data']",0.37484787255525587,0.12939199757449793
6,business,"['manager', 'new', 'operations', 'develops', 'strategy']",0.38441244065761565,0.009615225486498282
7,camper,"['lake', 'the', 'camper', 'near', 'hiker']",0.3970233380794525,0.10277118503168599
8,laughter,"['anecdotes', 'humorous', 'laughter', 'audience', 'applause']",0.6105214655399323,0.06994895634240805
9,bed,"['cozy', 'bed', 'sleeps', 'cat', 'the']",0.4582995742559433,0.0936471460960441
10,river,"['flows', 'the', 'river', 'waterfall', 'mountainside']",0.4990256756544113,0.08111965899385043
11,baker,"['bakes', 'bread', 'baker', 'dish', 'delicious']",0.5003620535135269,0.07734858943321647
12,exams,"['studies', 'teacher', 'evening', 'exams', 'the']",0.4819220095872879,0.07852522976659518
13,car,"['pedals', 'the', 'scenic', 'speeds', 'car']",0.4173347234725952,0.0861247097518673
14,laboratory,"['experiments', 'analyzes', 'the', 'conducts', 'office']",0.41595162749290465,0.014715513231883859
15,night,"['child', 'reads', 'story', 'colorful', 'night']",0.3959177702665329,0.0951966492015622
16,coach,"['motivates', 'gym', 'the', 'coach', 'game']",0.4191295653581619,0.08581129796195341
17,intricate,"['beautiful', 'artist', 'shapes', 'intricate', 'molds']",0.5515976786613465,0.059987572277884184
18,night,"['twinkle', 'the', 'sun', 'night', 'stars']",0.49843673706054686,0.06429112794711271
19,revolves,"['around', 'sun', 'moon', 'the', 'revolves']",0.4319941610097885,0.0885748070983421
20,purrs,"['cozy', 'purrs', 'windowsill', 'contentedly', 'the']",0.2517991214990616,0.14879073271753232
21,river,"['meanders', 'stream', 'river', 'the', 'meadow']",0.46247026026248933,0.0946671999462558
22,prepares,"['chef', 'creation', 'dish', 'sous-chef', 'prepares']",0.4408049702644348,0.07982491039746749
23,history,"['afternoon', 'diligently', 'history', 'student', 'grades']",0.3229279190301895,0.12262024168164509
24,car,"['car', 'pedals', 'incline', 'mountain', 'road']",0.36438349187374114,0.11625693804170192
25,researcher,"['analyzes', 'data', 'the', 'experiments', 'conducts']",0.40610853433609007,0.005856907695861722
26,story,"['reads', 'the', 'bedtime', 'playing', 'blocks']",0.31263468861579896,0.015134032612935968
27,center,"['coach', 'team', 'center', 'championship', 'athlete']",0.31087535470724104,0.12172120136022432
28,canvas,"['clay', 'sculptor', 'paints', 'molds', 'meticulously']",0.30984912216663363,0.018653033370896174
29,skyline,"['sun', 'the', 'sky', 'clear', 'behind']",0.27719854563474655,0.033204625632699214
30,seats,"['soars', 'enjoy', 'plane', 'views', 'the']",0.21940756887197493,0.007787578818598541
31,rocky,"['soar', 'waves', 'crashing', 'seagulls', 'ocean']",0.1742926247417927,0.00799815350579223
32,complex,"['mathematician', 'complex', 'solves', 'student', 'equations']",0.469893741607666,0.08023360533937966
33,gardens,"['gardener', 'cultivates', 'clients', 'beautiful', 'designs']",0.3569608598947525,0.03476783025293212
34,upcoming,"['guides', 'upcoming', 'director', 'scenes', 'lines']",0.3481067791581154,0.1117158415515969
35,intricate,"['troubleshoots', 'codes', 'scientist', 'the', 'computer']",0.20412034094333648,0.015883021282396326
36,challenging,"['determination', 'leads', 'expedition', 'peak', 'guide']",0.3166108578443527,0.0036006840515982576
37,patients,"['clinic', 'diagnoses', 'doctor', 'the', 'patients']",0.632376030087471,0.06831932472738682
38,librarian,"['quiet', 'enjoys', 'moment', 'the', 'organizes']",0.12409399673342705,0.008464461320669006
39,throughout,"['predicts', 'provides', 'throughout', 'weather', 'day']",0.3866679221391678,0.09616390075668875
40,editor,"['news', 'revises', 'journalist', 'conducts', 'interviews']",0.343248251080513,0.006681415987308305
41,musician,"['the', 'practices', 'piano', 'conductor', 'live']",0.28327363878488543,0.017725750318441955
42,examines,"['detective', 'forensic', 'case', 'lab', 'evidence']",0.3646016299724579,0.002460019368099822
43,structures,"['innovative', 'architect', 'masterpiece', 'the', 'constructs']",0.3487635314464569,0.01153946694838318
44,aboard,"['station', 'the', 'conducts', 'aboard', 'monitors']",0.41926105320453644,0.09836791121191216
45,farming,"['crops', 'sustainable', 'farmer', 'soil', 'agronomist']",0.5175086975097656,0.035434701899386876
46,shares,"['tour', 'guide', 'the', 'explores', 'historical']",0.1401147350668907,0.00302856179705552
47,electricity,"['wires', 'troubleshoots', 'new', 'electrician', 'electrical']",0.4540187120437622,0.08515077963033554
48,fashion,"['the', 'garments', 'creates', 'intricate', 'seamstress']",0.37744426131248476,0.02174652363016044
49,astronomer,"['galaxies', 'astronomer', 'distant', 'telescope', 'bodies']",0.5145145237445832,0.08848370843373972
50,entrepreneur,"['daily', 'strategy', 'operations', 'business', 'entrepreneur']",0.4570043496787548,0.10762659718259941
51,conservation,"['ecosystems', 'the', 'ecologist', 'conservation', 'studies']",0.5148681640625,0.07012509403443282
52,feedback,"['the', 'glides', ""swimmer's"", 'provides', 'technique']",0.18608271181583405,0.01040921143514902
53,site,"['fossils', 'paleontologist', 'studies', 'site', 'the']",0.4106321632862091,0.09071512514208777
54,principles,"['instructs', 'conducts', 'physics', 'laboratory', 'principles']",0.5120464026927948,0.06042547163009019
55,firefighting,"['team', 'directs', 'captain', 'the', 'burning']",0.2699612587690353,0.011379578239925577
56,verses,"['inspired', 'the', 'poems', 'reviews', 'nature']",0.33893812596797945,0.025686201448080016
57,food,"['experiments', 'new', 'critiques', 'chef', 'dishes']",0.25846966207027433,0.0361880395743167
58,clock,"['cyclist', 'the', ""cyclist's"", 'endurance', 'time']",0.3124889850616455,0.03492246201628783
59,agreements,"['peace', 'negotiates', 'agreements', 'ambassador', 'country']",0.4648634195327759,0.0835514733119755
